RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,year,month,year_month
9,0,California,state,,2015-01-31,409283.7079533382,2015,1,2015-01
54,1,Texas,state,,2015-01-31,163843.42884826104,2015,1,2015-01
14,2,Florida,state,,2015-01-31,175781.7625935711,2015,1,2015-01
43,3,New York,state,,2015-01-31,269894.4441924448,2015,1,2015-01
47,4,Pennsylvania,state,,2015-01-31,161129.74551900983,2015,1,2015-01
21,5,Illinois,state,,2015-01-31,163342.50488869657,2015,1,2015-01
44,6,Ohio,state,,2015-01-31,119277.366906068,2015,1,2015-01
16,7,Georgia,state,,2015-01-31,152957.43999238577,2015,1,2015-01
36,8,North Carolina,state,,2015-01-31,161186.8405290637,2015,1,2015-01
30,9,Michigan,state,,2015-01-31,123945.25217022008,2015,1,2015-01
40,10,New Jersey,state,,2015-01-31,297594.8974379821,2015,1,2015-01
56,11,Virginia,state,,2015-01-31,239673.02450736627,2015,1,2015-01
59,12,Washington,state,,2015-01-31,269201.2824454068,2015,1,2015-01
8,13,Arizona,state,,2015-01-31,197648.0788173045,2015,1,2015-01
26,14,Massachusetts,state,,2015-01-31,339107.7003658625,2015,1,2015-01
53,15,Tennessee,state,,2015-01-31,150464.12453666807,2015,1,2015-01
22,16,Indiana,state,,2015-01-31,121661.41589196087,2015,1,2015-01
27,17,Maryland,state,,2015-01-31,274935.23002257425,2015,1,2015-01
32,18,Missouri,state,,2015-01-31,133585.1305672645,2015,1,2015-01
60,19,Wisconsin,state,,2015-01-31,160615.3978155591,2015,1,2015-01
10,20,Colorado,state,,2015-01-31,276521.0112456608,2015,1,2015-01
31,21,Minnesota,state,,2015-01-31,191382.86055193932,2015,1,2015-01
51,22,South Carolina,state,,2015-01-31,152462.59744712882,2015,1,2015-01
4,23,Alabama,state,,2015-01-31,135152.28246616447,2015,1,2015-01
25,24,Louisiana,state,,2015-01-31,172613.78239169111,2015,1,2015-01
24,25,Kentucky,state,,2015-01-31,118381.78860784556,2015,1,2015-01
46,26,Oregon,state,,2015-01-31,252369.17932217245,2015,1,2015-01
45,27,Oklahoma,state,,2015-01-31,122409.43093438342,2015,1,2015-01
11,28,Connecticut,state,,2015-01-31,239849.3477171001,2015,1,2015-01
55,30,Utah,state,,2015-01-31,232965.14265063743,2015,1,2015-01
19,31,Iowa,state,,2015-01-31,131867.3130402648,2015,1,2015-01
42,32,Nevada,state,,2015-01-31,203555.03106899883,2015,1,2015-01
6,33,Arkansas,state,,2015-01-31,126367.4975468651,2015,1,2015-01
34,34,Mississippi,state,,2015-01-31,123745.73590315784,2015,1,2015-01
23,35,Kansas,state,,2015-01-31,126023.75679085156,2015,1,2015-01
41,36,New Mexico,state,,2015-01-31,169523.38651665044,2015,1,2015-01
38,37,Nebraska,state,,2015-01-31,140356.9919588305,2015,1,2015-01
20,38,Idaho,state,,2015-01-31,184439.2498454632,2015,1,2015-01
61,39,West Virginia,state,,2015-01-31,106247.05793079911,2015,1,2015-01
18,40,Hawaii,state,,2015-01-31,496197.5514829836,2015,1,2015-01
39,41,New Hampshire,state,,2015-01-31,224753.5819774037,2015,1,2015-01
28,42,Maine,state,,2015-01-31,184876.63423524864,2015,1,2015-01
50,43,Rhode Island,state,,2015-01-31,232436.6264954398,2015,1,2015-01
35,44,Montana,state,,2015-01-31,209130.9603768653,2015,1,2015-01
13,45,Delaware,state,,2015-01-31,234165.19226441125,2015,1,2015-01
52,46,South Dakota,state,,2015-01-31,167214.04551838033,2015,1,2015-01
37,47,North Dakota,state,,2015-01-31,214060.47289520744,2015,1,2015-01
3,48,Alaska,state,,2015-01-31,270008.13738819066,2015,1,2015-01
12,49,District of Columbia,state,,2015-01-31,474405.4913991626,2015,1,2015-01
58,50,Vermont,state,,2015-01-31,227706.1906991097,2015,1,2015-01
62,51,Wyoming,state,,2015-01-31,217072.19915215543,2015,1,2015-01
9,0,California,state,,2015-02-28,411753.1273580992,2015,2,2015-02
54,1,Texas,state,,2015-02-28,165122.02798375092,2015,2,2015-02
14,2,Florida,state,,2015-02-28,177030.22719646434,2015,2,2015-02
43,3,New York,state,,2015-02-28,270139.0691275023,2015,2,2015-02
47,4,Pennsylvania,state,,2015-02-28,161182.91373908747,2015,2,2015-02
21,5,Illinois,state,,2015-02-28,163363.06537002078,2015,2,2015-02
44,6,Ohio,state,,2015-02-28,119648.65332460355,2015,2,2015-02
16,7,Georgia,state,,2015-02-28,153541.68879418695,2015,2,2015-02
36,8,North Carolina,state,,2015-02-28,161755.27829419324,2015,2,2015-02
30,9,Michigan,state,,2015-02-28,124517.70850797248,2015,2,2015-02
40,10,New Jersey,state,,2015-02-28,297692.52224054525,2015,2,2015-02
56,11,Virginia,state,,2015-02-28,240038.5305325201,2015,2,2015-02
59,12,Washington,state,,2015-02-28,271602.9838340689,2015,2,2015-02
8,13,Arizona,state,,2015-02-28,198347.65859382777,2015,2,2015-02
26,14,Massachusetts,state,,2015-02-28,341125.1933479252,2015,2,2015-02
53,15,Tennessee,state,,2015-02-28,151051.6740816046,2015,2,2015-02
22,16,Indiana,state,,2015-02-28,121918.94045948812,2015,2,2015-02
27,17,Maryland,state,,2015-02-28,275039.0425917074,2015,2,2015-02
32,18,Missouri,state,,2015-02-28,133833.54375635702,2015,2,2015-02
60,19,Wisconsin,state,,2015-02-28,161137.25382066125,2015,2,2015-02
10,20,Colorado,state,,2015-02-28,279924.059979206,2015,2,2015-02
31,21,Minnesota,state,,2015-02-28,192348.807711878,2015,2,2015-02
51,22,South Carolina,state,,2015-02-28,152912.09363790622,2015,2,2015-02
4,23,Alabama,state,,2015-02-28,135040.30268571328,2015,2,2015-02
25,24,Louisiana,state,,2015-02-28,173623.19159599717,2015,2,2015-02
24,25,Kentucky,state,,2015-02-28,118529.45125928197,2015,2,2015-02
46,26,Oregon,state,,2015-02-28,254616.64283285596,2015,2,2015-02
45,27,Oklahoma,state,,2015-02-28,122777.48424552876,2015,2,2015-02
11,28,Connecticut,state,,2015-02-28,239817.51467892004,2015,2,2015-02
55,30,Utah,state,,2015-02-28,234299.1212436224,2015,2,2015-02
19,31,Iowa,state,,2015-02-28,132613.3837130554,2015,2,2015-02
42,32,Nevada,state,,2015-02-28,204487.14536534905,2015,2,2015-02
6,33,Arkansas,state,,2015-02-28,126519.7505011574,2015,2,2015-02
34,34,Mississippi,state,,2015-02-28,124424.63484668249,2015,2,2015-02
23,35,Kansas,state,,2015-02-28,126532.62221670702,2015,2,2015-02
41,36,New Mexico,state,,2015-02-28,169729.03937618397,2015,2,2015-02
38,37,Nebraska,state,,2015-02-28,140880.3562159742,2015,2,2015-02
20,38,Idaho,state,,2015-02-28,185311.28018045577,2015,2,2015-02
61,39,West Virginia,state,,2015-02-28,106735.8057537044,2015,2,2015-02
18,40,Hawaii,state,,2015-02-28,498846.4140802293,2015,2,2015-02
39,41,New Hampshire,state,,2015-02-28,225564.1535053847,2015,2,2015-02
